Trade Date,Ref Px,Net Gamma,Net Delta,Call Wall,Put Wall,Vol Trigger,Data Release
2018-01-02,2694,2.4182,14130992332,2700,2550,2670,2018-01-03
2018-01-03,2713,3.3275,14957671909,2700,2500,2665,2018-01-04
2018-01-04,2725,3.6987,15937182483,2750,2650,2665,2018-01-05
2018-01-05,2739,3.3779,16591831410,2750,2650,2670,2018-01-08
2018-01-08,2748,3.4326,17172740236,2750,2650,2695,2018-01-09
2018-01-09,2755,3.26,17952494502,2750,2650,2695,2018-01-10
2018-01-10,2747,2.7621,17991927573,2750,2650,2695,2018-01-11
2018-01-11,2764,3.2914,18920265394,2775,2650,2695,2018-01-12
2018-01-12,2785,3.0669,19702078921,2800,2650,2695,2018-01-15
2018-01-16,2781,2.1891,20216170897,2800,2650,2715,2018-01-17
2018-01-17,2805,3.1729,21580150618,2800,2650,2715,2018-01-18
2018-01-18,2798,2.3754,22208232253,2825,2650,2715,2018-01-19
2018-01-19,2809,2.3834,17650538589,2825,2650,2725,2018-01-22
2018-01-22,2827,2.6964,18617311986,2825,2650,2745,2018-01-23
2018-01-23,2840,2.6866,19389188606,2850,2650,2745,2018-01-24
2018-01-24,2839,2.4071,19795357230,2850,2650,2745,2018-01-25
2018-01-25,2838,2.2355,20012815698,2850,2650,2745,2018-01-26
2018-01-26,2869,2.5716,20672756785,2900,2650,2745,2018-01-29
2018-01-29,2855,2.0443,20991562174,2900,2650,2745,2018-01-30
2018-01-30,2827,1.1455,20634595160,2900,2650,2755,2018-01-31
2018-01-31,2829,1.3227,20125315561,2900,2650,2755,2018-02-01
2018-02-01,2814,0.7003,20183398031,2900,2650,2775,2018-02-02
2018-02-02,2767,-1.1894,20336865782,2825,2700,2775,2018-02-05
2018-02-05,2679,-2.3717,22347259119,2850,2650,2755,2018-02-06
2018-02-06,2694,-1.9516,22961207051,2900,2650,2755,2018-02-07
2018-02-07,2706,-2.2786,22058059698,2800,2650,2755,2018-02-08
2018-02-08,2615,-3.2289,24225637588,2900,2600,2745,2018-02-09
2018-02-09,2615,-3.0955,24094225290,2800,2500,2735,2018-02-12
2018-02-12,2664,-2.5937,22981550847,2800,2600,2735,2018-02-13
2018-02-13,2662,-2.4911,23464648261,2800,2600,2735,2018-02-14
2018-02-14,2696,-1.4564,22896011723,2800,2650,2735,2018-02-15
2018-02-15,2723,0.0727,23428861953,2725,2500,2695,2018-02-16
2018-02-16,2735,-0.4366,20622663471,2800,2600,2735,2018-02-19
2018-02-20,2711,-1.1697,20452724404,2800,2600,2735,2018-02-21
2018-02-21,2714,-1.2137,20321839830,2800,2600,2735,2018-02-22
2018-02-22,2705,-1.5181,20520700926,2800,2600,2735,2018-02-23
2018-02-23,2744,-0.0531,20187241006,2800,2600,2735,2018-02-26
2018-02-26,2777,1.2952,20762503364,2800,2650,2735,2018-02-27
2018-02-27,2752,0.1455,20914545544,2800,2650,2735,2018-02-28
2018-02-28,2731,-0.5996,20456820426,2800,2650,2735,2018-03-01
2018-03-01,2672,-2.1271,21381681202,2800,2600,2735,2018-03-02
2018-03-02,2691,-1.5833,20817564039,2800,2650,2715,2018-03-05
2018-03-05,2727,-0.2454,20823082447,2800,2650,2715,2018-03-06
2018-03-06,2726,-0.2764,20927160864,2800,2650,2720,2018-03-07
2018-03-07,2729,-0.1798,20936499015,2800,2650,2720,2018-03-08
2018-03-08,2731,-0.015,21146751374,2800,2650,2720,2018-03-09
2018-03-09,2781,2.3728,21958634915,2800,2650,2735,2018-03-12
2018-03-12,2789,2.6301,22369888061,2800,2650,2735,2018-03-13
2018-03-13,2762,0.963,22384058729,2800,2650,2735,2018-03-14
2018-03-14,2746,0.1814,22386391862,2800,2650,2740,2018-03-15
2018-03-15,2748,0.8128,22534221431,2800,2650,2735,2018-03-16
2018-03-16,2757,0.5415,13300823495,2800,2650,2740,2018-03-19
2018-03-19,2706,-1.5444,13871254736,2800,2650,2735,2018-03-20
2018-03-20,2717,-1.1685,13851597141,2800,2650,2730,2018-03-21
2018-03-21,2720,-1.1384,13763264515,2800,2650,2730,2018-03-22
2018-03-22,2652,-2.8008,15252058709,2800,2600,2730,2018-03-23
2018-03-23,2597,-2.9633,16088725522,2800,2600,2730,2018-03-26
2018-03-26,2657,-2.2157,15166659588,2800,2600,2730,2018-03-27
2018-03-27,2603,-2.9061,16472593687,2800,2600,2700,2018-03-28
2018-03-28,2610,-2.6422,16395241394,2800,2600,2700,2018-03-29
2018-03-29,2645,-1.6883,15388976239,2750,2600,2700,2018-03-30
2018-04-02,2571,-2.6819,16625485050,2750,2500,2700,2018-04-03
2018-04-03,2609,-2.2162,16233280090,2750,2500,2670,2018-04-04
2018-04-04,2642,-1.5517,16137541883,2750,2600,2655,2018-04-05
2018-04-05,2665,-1.0607,16240503268,2750,2600,2670,2018-04-06
2018-04-06,2605,-2.4136,16775480707,2750,2500,2670,2018-04-09
2018-04-09,2627,-1.8727,16562619781,2750,2600,2650,2018-04-10
2018-04-10,2658,-0.9915,16631299853,2750,2600,2650,2018-04-11
2018-04-11,2646,-1.5279,16614519064,2750,2600,2650,2018-04-12
2018-04-12,2670,-0.5757,16566395172,2750,2600,2655,2018-04-13
2018-04-13,2653,-1.2908,16316341042,2750,2600,2660,2018-04-16
2018-04-16,2683,-0.2206,16240574130,2750,2600,2670,2018-04-17
2018-04-17,2711,0.8947,16757480103,2750,2500,2695,2018-04-18
2018-04-18,2712,1.0671,17013431153,2750,2500,2695,2018-04-19
2018-04-19,2696,0.4752,17245197993,2750,2500,2685,2018-04-20
2018-04-20,2667,-0.696,14757372617,2750,2500,2675,2018-04-23
2018-04-23,2668,-0.6755,14648571336,2750,2600,2675,2018-04-24
2018-04-24,2622,-2.1854,15349630499,2750,2500,2675,2018-04-25
2018-04-25,2634,-1.7421,15386334867,2750,2600,2665,2018-04-26
2018-04-26,2670,-0.3231,15196577538,2750,2600,2665,2018-04-27
2018-04-27,2670,-0.3552,14948553849,2750,2600,2670,2018-04-30
2018-04-30,2657,-0.9523,14731607672,2750,2600,2670,2018-05-01
2018-05-01,2648,-1.3164,14893707030,2750,2600,2650,2018-05-02
2018-05-02,2637,-1.7281,14980823984,2750,2600,2670,2018-05-03
2018-05-03,2627,-1.9739,15447749549,2750,2600,2650,2018-05-04
2018-05-04,2666,-0.3478,15202539678,2750,2600,2665,2018-05-07
2018-05-07,2671,-0.1015,15195001779,2750,2600,2665,2018-05-08
2018-05-08,2669,-0.1375,15301684644,2750,2600,2665,2018-05-09
2018-05-09,2693,1.0506,15561044048,2750,2600,2670,2018-05-10
2018-05-10,2721,2.5559,16234750560,2750,2500,2670,2018-05-11
2018-05-11,2727,2.5467,16393033761,2750,2650,2670,2018-05-14
2018-05-14,2729,2.5602,16531564532,2750,2600,2670,2018-05-15
2018-05-15,2706,0.8283,16483941583,2750,2600,2675,2018-05-16
2018-05-16,2721,1.9514,16645522141,2750,2600,2670,2018-05-17
2018-05-17,2718,1.688,16843715461,2750,2600,2710,2018-05-18
2018-05-18,2714,1.0567,15015481379,2750,2500,2695,2018-05-21
2018-05-21,2729,1.8809,15363614967,2750,2650,2695,2018-05-22
2018-05-22,2727,1.6728,15499105753,2750,2650,2715,2018-05-23
2018-05-23,2728,1.7306,15560116348,2750,2650,2710,2018-05-24
2018-05-24,2726,1.6642,15571494949,2750,2650,2710,2018-05-25
2018-05-25,2719,0.9007,15353319559,2750,2650,2710,2018-05-28
2018-05-29,2689,-0.7277,15671559846,2750,2650,2710,2018-05-30
2018-05-30,2724,1.3483,15796372997,2750,2650,2710,2018-05-31
2018-05-31,2708,0.1238,15594316441,2750,2650,2710,2018-06-01
2018-06-01,2732,1.6795,15773040411,2750,2650,2710,2018-06-04
2018-06-04,2747,2.6714,16107360115,2750,2650,2710,2018-06-05
2018-06-05,2748,2.6929,16168142856,2750,2650,2720,2018-06-06
2018-06-06,2767,3.6816,16877187232,2800,2650,2720,2018-06-07
2018-06-07,2770,3.6508,17389075809,2800,2650,2720,2018-06-08
2018-06-08,2777,3.7262,17600392042,2800,2650,2720,2018-06-11
2018-06-11,2787,4.2219,18270494692,2800,2650,2730,2018-06-12
2018-06-12,2784,4.0311,18524820359,2800,2650,2730,2018-06-13
2018-06-13,2782,3.8769,18660693352,2800,2650,2740,2018-06-14
2018-06-14,2785,4.4753,18955388456,2800,2650,2740,2018-06-15
2018-06-15,2778,2.0762,11414211429,2800,2650,2740,2018-06-18
2018-06-18,2771,1.6734,11513945712,2800,2650,2740,2018-06-19
2018-06-19,2760,0.9238,11777193830,2800,2650,2755,2018-06-20
2018-06-20,2770,1.5296,11916658727,2800,2650,2760,2018-06-21
2018-06-21,2745,-0.099,12209619101,2800,2650,2760,2018-06-22
2018-06-22,2759,0.7813,12012510935,2800,2650,2760,2018-06-25
2018-06-25,2718,-1.2306,12546540362,2800,2650,2740,2018-06-26
2018-06-26,2727,-0.9236,12468101816,2800,2650,2740,2018-06-27
